terms,total
automatische Löschanlage,1
Wasserlöscher,0
"Lpeak, Spitzenschalldruckpegel",0
Wegeunfall,0
Lärmrisiko,0
Kapselung,1
Schalldämmung,9
Lärmbewertung,0
hochentzündlich,0
organisatorische Maßnahme,0
"MAK, maximale Arbeitsplatzkonzentration",5
PNEC,0
"Karzinogen, karzinogener Arbeitsstoff",1
Räumungsübung,2
elektrisches Risiko,0
Konformitätserklärung,35
"Anforderung an Sicherheit und Gesundheit, Sicherheitsanforderung",0
"Arbeit an unter Spannung stehenden Teilen, Arbeit unter Spannung, Arbeiten unter Spannung",1
"Arbeit an unter Spannung stehenden Teilen, Arbeit unter Spannung, Arbeiten unter Spannung",1
thermische Energie,2
"FI-Schutzschalter, Fehlerstromschutzschalter",1
"FI-Schutzschalter, Fehlerstromschutzschalter",1
"EP, Elektrofachkraft, PES, erfahrene Person",0
"PAV, elektrotechnisch unterwiesene Person, unterrichtete Person, vorgewarnte Person",0
Kleinspannung,1
gewöhnliche Person,0
"HAV, Hand-Arm-Vibrationen",5
"HAV, Hand-Arm-Vibrationen",5
"GKV, Ganzkörper-Vibrationen, WBV",5
"GKV, Ganzkörper-Vibrationen, WBV",5
indirekte Auswirkungen,1
Antivibrationshandschuh,0
"A(8), Tagesexpositionswert, täglicher Expositionspegel",4
"PSA gegen Absturz, Schutzausrüstung gegen Absturz, persönliche Schutzausrüstung gegen Absturz",1
"PSA gegen Absturz, Schutzausrüstung gegen Absturz, persönliche Schutzausrüstung gegen Absturz",1
Sicherheitsseil,3
"Drogenmissbrauch, Missbrauch von Betäubungsmitteln",3
"Gefahrengut, Gefahrgut",9
"Gefahrengut, Gefahrgut",9
thermisches Risiko,0
"Screeningtest, toxikologische Screening-Untersuchung",0
Belüftungssystem,0
periodische Überprüfung,15
Schutzsystem,5
Mindestzündenergie,0
primärer Explosionsschutz,0
sekundärer Explosionsschutz,0
"Gefährdungsbeurteilung, Risikobewertung",113
"Gefährdungsbeurteilung, Risikobewertung",113
Arbeitsrisiko,0
Anlegeleiter,0
sich ständig wiederholende Arbeit,0
Schutzgitter,4
"UV-A-Strahlung, UVA-Strahlung",2
"UV-A-Strahlung, UVA-Strahlung",2
"ADR-Fahrerbescheinigung, ADR-Fahrernachweis",0
"ADR-Fahrerbescheinigung, ADR-Fahrernachweis",0
IR-A-Strahlung,0
IR-B-Strahlung,0
IR-C-Strahlung,0
negativer Stress,0
"Arbeitnehmer mit Behinderungen, behinderter Arbeitnehmer",1
"Auftritt, Auftrittsfläche, Trittfläche",32
"Auftritt, Auftrittsfläche, Trittfläche",32
"Stufenhöhe, Tritthöhe",3
"Stufenhöhe, Tritthöhe",3
Risikomanagement,9
Asbestose,0
Spreizsicherung,0
"Elektrosmog, elektromagnetische Strahlenbelastung",1
"Elektrosmog, elektromagnetische Strahlenbelastung",1
biologisches Risiko,3
genetisch veränderter Mikroorganismus,0
Strickleiter,0
"biologischer Arbeitsstoff, biologischer Wirkstoff",1
biologischer Arbeitsstoff der Gruppe 4,1
"Einmalhandschuh, Einweghandschuh, Wegwerfhandschuh",0
"Einmalhandschuh, Einweghandschuh, Wegwerfhandschuh",0
"Einmalhandschuh, Einweghandschuh, Wegwerfhandschuh",0
"Sicherheits- und Gesundheitsschutzkoordinator in der Ausführungsphase des Bauvorhabens, Sicherheitskoordinator in der Ausführungsphase",16
"Absturzrisiko, Absturzrisiko aus der Höhe",5
Radonfolgeprodukt,0
Strahlenschutzsachverständiger,1
Radongebiet,0
Bauleiter,249
Verbinder,1
"Erholungsraum, Pausenraum",4
Unfallmeldung,0
"FHAB, Hubarbeitsbühne, fahrbare Hubarbeitsbühne",0
"FHAB, Hubarbeitsbühne, fahrbare Hubarbeitsbühne",0
"FHAB, Hubarbeitsbühne, fahrbare Hubarbeitsbühne",0
Brandschutzzeichen,1
Entscheidungsvorbereitung,15
flüssiger Brennstoff,0
Sturz,8
biologischer Arbeitsstoff der Gruppe 1,0
biologischer Arbeitsstoff der Gruppe 2,0
biologischer Arbeitsstoff der Gruppe 3,0
"Stiege, Stiegenhaus, Treppenhaus",34
"Armschutz, Armschutzausrüstung",0
"Armschutz, Armschutzausrüstung",0
"Kopfschutz, Kopfschutzausrüstung",0
nicht elektrische Arbeit,0
akute Toxizität,0
chronische Toxizität,0
Gleichstrom,2
Wechselstrom,1
Arbeitsschutzmanagement,0
frequenzbewertete Beschleunigung,0
Auswirkungen von Hand-Arm-Vibrationen,0
ärztliche Untersuchung,16
Vorsorgeuntersuchung vor der Einstellung,0
Begräbnis,2
"Auftraggeber, Bauherr, Besteller",606
"Auftraggeber, Bauherr, Besteller",606
starkgebundener Asbest,0
"elektrisches Handwerkzeug, tragbares Elektrowerkzeug",0
Arbeit in beengten Bereichen,0
künstliches Licht,0
Arbeiten am Seil,0
"analoge Abschrift, analoge Ausfertigung",0
"digitale Kopie, informatische Abschrift",2
"digitale Kopie, informatische Abschrift",2
Antispam-Software,0
Smart Working,6
Robe,2
Desinfektion,33
"Isolation, Isolierung",33
Metadaten,0
"häusliche Isolation, häusliche Isolierung",0
Eindämmungsmaßnahme,0
COVID-19,190
Nasen-Rachen-Abstrich,0
"OP-Maske, chirurgische Maske",3
"Distanzunterricht, Fernunterricht, digitaler Unterricht",13
Schulschließung,0
digitale Lernplattform,0
Kontagiosität,0
E-Geld,0
psychische Belastung,0
Umfrage,5
"E-Rezept, digitalisiertes Rezept, elektronisches Rezept",0
"Fax, Telefax",63
"Arbeitsunfähigkeitsrente, Erwerbsunfähigkeitsrente",0
"Arbeitsunfähigkeitsrente, Erwerbsunfähigkeitsrente",0
E-Health,1
Reproduktionszahl,0
"Rt, effektive Reproduktionszahl",1
"Rt, effektive Reproduktionszahl",1
"Stufe, Treppenstufe",132
Kontaktnachverfolgung,0
Krankenpfleger,62
Prüfungskommission,341
Kassationsbeschwerde,48
SARS-Cov-2,14
Antigen-Schnelltest,0
Durchimpfungsrate,1
Arbeitsplatzpositionierungssystem,0
"Antigen-Nasenflügel-Schnelltest, Nasenflügeltest",0
Nebenwirkung,1
spontane Meldung,0
Morbidität,0
unvorhergesehene Nebenwirkung,0
"Auffrischungsdosis, Boosterdosis",0
"Auffrischungsdosis, Boosterdosis",0
nationales Impfregister,0
Kombinationsimpfstoff,0
"Malware, Schadprogramm",0
"Malware, Schadprogramm",0
"Erpressungstrojaner, Ransomware",0
"Erpressungstrojaner, Ransomware",0
Pulverlöscher,1
"PNRR, nationaler Aufbau- und Resilienzplan, nationaler Wiederaufbau- und Resilienzplan",0
"einheitliches Familiengeld, einheitliches Kindergeld, einheitliches und universelles Kindergeld, gesamtstaatliches Kindergeld",0
Cybersicherheitsvorfall,0
Cloud-Dienst,0
Suchmaschine,0
Recht auf Abschalten,0
"Einlassung der Partei, Einlassung der Parteien",11
Besitzschutzklage,0
Streitgenossenschaft,6
"Aufhebung, Außerkraftsetzung",371
"Aufhebung, Außerkraftsetzung",371
Beitritt,107
"Einlassung in das Verfahren, Streiteinlassung",14
dingliches Recht,4
Durchführungsverordnung,2252
"Disziplinarmaßnahme, Disziplinarstrafe",45
Ministerrat,25
Bürgschaft,101
"Bevollmächtigter, Vertreter",1575
"Gesellschaft mit beschränkter Haftung, GmbH",38
Vormund,109
Forderung,280
"ZGB, Zivilgesetzbuch",217
Schiedsvertrag,8
elterliche Gewalt,48
Abstammung,33
unerlaubte Handlung,7
Legitimation durch nachfolgende Eheschließung,2
Verteidiger,156
Vollstreckung,225
"Erbschaft, Verlassenschaft",192
Pflichtteilsberechtigter,0
"Erbteilung, Teilung der Erbschaft",10
Berichtigung inhaltlicher Fehler,2
"Durchsuchung der Person, Leibesvisitation",2
Dekret auf Einleitung des Hauptverfahrens,6
Vermächtnis,59
"Satzung, Statut",852
bewegliche Sache,14
natürliche Früchte,2
Zivilfrüchte,5
Erwerb,635
"Eigentum an Grund und Boden, Grundeigentum",8
"Bereich unter der Erdoberfläche, Untergrund",98
"Dienstbarkeit, Grunddienstbarkeit",140
"Dienstbarkeit, Grunddienstbarkeit",140
Inhaber,965
"Verbindung, Zuwachs",436
herrschendes Grundstück,0
dienendes Grundstück,0
"Gesamtschuld, Gesamtschuldverhältnis, Gesamtverbindlichkeit",14
"Gesamtschuld, Gesamtschuldverhältnis, Gesamtverbindlichkeit",14
Neuerung,23
"Versammlung der Hausmiteigentümer, Versammlung der Miteigentümer",6
Standesbeamter,0
Versöhnung,5
einverständliche Ehetrennung,1
Besitz in gutem Glauben,5
Klage auf Erhaltung des Besitzes,2
ungeteiltes Eigentum,1
"Anspruch auf Unterhalt, Anspruch auf vollen Unterhalt, Recht auf Unterhalt",5
Quittung,42
Kindesunterschiebung,2
"Klage auf Bestreitung der Vaterschaft, Vaterschaftsbestreitungsklage",13
Vorfahre,4
Nachkomme,4
Spezialvollmacht,2
Entlassung aus der elterlichen Verantwortung,2
Vormundstellvertreter,20
Darlehensgeber,14
Darlehensnehmer,41
Realangebot,5
Aufforderung,434
Neuerung,23
"Aufrechnung, Verrechnung",91
Miterbe,13
Adoptierender,3
Einwendung,32
"Bezugsrecht, Optionsrecht",39
Vermächtnisnehmer,94
gesetzliche Erbfolge,2
aufschiebende Bedingung,3
notarielles Testament,0
Beschwerter,0
Nacherbfolge,9
"Testamentsvollstrecker, Testamentvollstrecker",23
Veräußerung,296
Erbmasse,11
Abmachung des Heimfalls,1
"Arbeitsvertrag, Einzelvertrag, Individualarbeitsvertrag, Individualvertrag",249
Versprechender,0
übermäßige Belastung,2
"Gewähr für die gute Gebrauchsfähigkeit, Gewährleistung für die gute Gebrauchsfähigkeit",2
Lehrling,66
Handelsregisteramt,51
Werkhersteller,13
Teilleistung,4
Agenturvertrag,6
Makler,20
Verwahrer,159
Lagerschein,8
"Indossament, Indossierung",44
Pfandgläubiger,9
Indossant,12
Entlehner,15
"Gesellschaftsverbindlichkeiten, Verbindlichkeiten der Gesellschaft",22
Liquidator,11
Sparbuch,8
Börsenmakler,5
Bankvorschuss,0
beglaubigte Unterschrift,5
Wettbewerbsverbot,3
Herabsetzung des Kapitals,23
grobe Fahrlässigkeit,30
Wegfall des Risikos,2
Zusammenlegung,103
Gründungsgesellschafter,6
Rücklagen,97
Gesamtrechtsnachfolge,9
"Recht auf Gewinnbeteiligung, Recht auf den Gewinn",3
abhängige Gesellschaft,4
außerordentliche Gesellschafterversammlung,25
Masseverwalter,83
"Nichtwählbarkeit, Unwählbarkeit",18
gesetzliche Rücklage,4
"Bücher der Gesellschaft, Gesellschaftsbücher",8
"Gesellschafterbuch, Mitgliederverzeichnis, Mitgliedsbuch",37
"Buch für die Schuldverschreibungen, Buch über die Schuldverschreibungen",2
Bilanz,156
immaterielles Anlagevermögen,3
"Aufwendungen, Ausgaben, Auslagen, Kosten",7428
"Aufwendungen, Ausgaben, Auslagen, Kosten",7428
Marke,42
Sachanlagevermögen,2
Finanzanlagevermögen,3
"Mehrwertsteuer, MwSt.",302
"Eigenkapital, Reinvermögen",29
"Aktiva, Aktivseite, Aktivstand, Aktivvermögen",61
"Scheckbürgschaft, Wechselbürgschaft",2
Gutschrift,19
Erbschaftssteuer,3
Mehrwert,13
nacktes Eigentum,0
"Erhöhung des Kapitals, Kapitalerhöhung",48
überflüssiges Kapital,0
übernehmende Gesellschaft,4
gerichtlicher Schutz,1
Sicherungsbeschlagnahme,3
"Alleinverwalter, alleiniger Verwalter",4
Mitgliederversammlung,107
Gerichtssprengel,7
"Geschäfte für die Gesellschaft, Handlungen für die Gesellschaft",3
Arbeit,1304
Verlust am Gesellschaftskapital,1
Ausgabe,832
Aufnahme der Beweismittel im Beweissicherungsverfahren,1
"Flucht, fluchtbedingte Unauffindbarkeit",13
stattgebendes Urteil,0
zurechnungsfähig,5
Willensfähigkeit,0
Vormundschaft,53
"Verteidigungseingabe, Verteidigungsschrift",3
gewerbsmäßiger Verbrecher,0
außergerichtliches Geständnis,1
"Ausschluss von öffentlichen Ämtern, Verbot der Ausübung öffentlicher Ämter, Verbot der Bekleidung öffentlicher Ämter",11
Schuldindiz,0
"Amtsakte, Gerichtsakte",30
Miteigentümer,104
Erbgemeinschaft,1
"Inhaber des Überbaurechts, Überbauberechtigter",0
Ehegütervertrag,1
"Witwenschaft, Witwenstand, Witwerstand",0
abschreibungsfähiges Gut,0
Trennung der Rechtsstreitigkeiten,0
"Aufnahme, Übernahme",1553
Spaltungsplan,3
Gegenüberstellung,16
Erklärung,1517
direkte Vernehmung,2
erkennendes Gericht,0
Gericht erster Instanz,5
Richter für die Vorerhebungen,12
Begnadigung,3
"gesetzesmäßig, gesetzlich, gesetzmäßig",415
"bedingte Aussetzung der Strafe, bedingte Strafaussetzung",1
fortgesetzte strafbare Handlung,4
Aufenthaltsgebot,0
an der Börse notierte Aktie,0
Fund,6
gutgläubiger Besitzer,2
Wiedergutmachung wegen ungerechtfertigter Haft,2
"Bücher, Rechnungsunterlagen",213
Einlassung der Zivilpartei,10
Vorzugsrecht,108
Frachtgeld,0
zusammengesetzte strafbare Handlung,0
Wahlbefugnis,5
Gesamtrechtsnachfolger,1
Erbschaftsvermögen,1
Vermächtnis einer bestimmten Sache,0
Liquidation der Gesellschaft,2
Redlichkeit,6
"Wohnrecht, Wohnungsrecht",32
Unerlaubtheit,6
übernehmende Gesellschaft,4
Einigung der Parteien,4
Arglist,34
"Annullierung, Aufhebung",419
Grenzen,537
Volljährigkeit,39
Vertretener,0
Stimmrecht,197
gemeinsame Absicht der Parteien,1
Fortpflanzungsfähigkeit,0
Pflicht zur Treue,1
"Minderjähriger, minderjährige Person",66
Heimfall,14
Strand,1
Zeuge,14
Pseudonym,2
Erblasser,130
Bankgeschäft in Form des Kontokorrents,0
Mutwilligkeit,1
erhoffter Gewinn,0
"Parteienvernehmung, förmliche Vernehmung",2
notwendige Ausbesserungen,1
Schuldverschreibung,3
Einheit des Staates,0
militärische Operation,0
militärische Spionage,0
Tonaufnahme,6
Tonbildaufnahme,2
Anführer,0
Vermögen des Staates,17
Pflichtversicherungsschein,0
Fußgänger,45
ampelgeregelter Fußgängerüberweg,0
"Fahrbahnteiler, Verkehrstrennungsinsel",7
Saumpfad,2
Parken,61
Kaution,324
schwerwiegende Schuldindizien,0
"Zuweisung eines Zwangsaufenthalts, Zwangsaufenthalt",2
Amtsgutachten,8
Zulassungsbescheinigung des Herkunftsstaates,1
"Unterscheidungszeichen des Herkunftsstaates, Unterscheidungszeichen des Zulassungsstaates",1
Strafrechtspflege,0
Wiederaufnahme,181
Berufungskläger,7
berechtigte Verhinderung,1
"Gewährung der Verfahrenshilfe, Zulassung zum kostenlosen Rechtsbeistand",0
Mitangeklagter,0
Erörterung,105
Hauptverfahren,39
als freie Person,1
Zwischenstreitfrage,1
Einleitung des Hauptverfahrens,22
auf Verurteilung lautendes Urteil,9
Freilandstraße,4
Verteidiger der verletzten Person,1
"Feststellung der Identität der Person, Identifizierung der Person",9
Erhebung,332
Vorerhebungen,57
"Verdächtiger, eines Verbrechens verdächtigte Person",0
"Ansuchen um Strafverfolgung, Strafantrag",14
"Person, die über den Sachverhalt Bescheid weiß",0
Vorfahrt,22
Probeabmachung,2
Mietfahrzeug mit Fahrer,5
"Verteidigungshandlung, Verteidigungsschrift, Verteidigungsvorbringen",9
Mitglied des Aufsichtsrats,1
"Auferlegung der Kosten, Verurteilung zur Tragung der Kosten",2
Leistungsaufforderung,10
Verwahrer,159
"Ehegatte, Ehegattin",170
"Berufung an den Kassationsgerichtshof, Kassationsbeschwerde",50
"Eid, Eidesleistung",58
Entziehung,37
gerichtlicher Augenschein,1
Hypothek,197
Verpfändung von Wertpapieren,1
"Fruchtgenuss, Fruchtgenussrecht",76
"Katastermappe, Katasterplan",3
Abfassung des Protokolls,7
"Flüchtiger, flüchtiger Angeklagter",0
vorbeugende Maßnahme,7
"Berufung an den Kassationsgerichtshof, Kassationsbeschwerde",50
Nennwert,43
Pfad,2
"Geldbuße, Geldstrafe",920
Absonderung der Güter des Verstorbenen,3
geistiger Beruf,0
Plünderung,0
Widerspruch gegen den Antrag auf Archivierung,2
Erfüllung der Auflage,4
Zusatzzeichen und -einrichtung,0
Zuständigkeit,1060
"Gesellschafterversammlung, Versammlung",535
Gesellschaftsvertrag,16
Register für die Nachrichten über strafbare Handlungen,2
gesetzlicher Ehegüterstand,1
Nutzungspfand,9
Schwurgericht,36
Zubehör,256
Einlage,43
Bestimmung der Verfahrenskosten,1
Darlegung der Tatsachen,10
Auslegung durch die Rechtsprechung,1
Ethikkomitee,13
landwirtschaftliche Arbeitsmaschine,0
archäologische Fundstätte,1
Privatarchiv,0
"Arbeitsschutzmaßnahmen, Präventions- und Schutzmaßnahmen, Vorbeuge- und Schutzmaßnahmen, Vorsorge- und Schutzmaßnahmen",40
"Dachfenster, Oberlicht",0
"MAK, maximale Arbeitsplatzkonzentration",5
Schutzsystem,5
nicht elektrische Arbeit,0
ärztliche Untersuchung,16
Begräbnis,2
künstliches Licht,0
